age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,final_grade
15,other,public,diploma,0.7,95.1,yes,<15 min,yes,group study,e
16,female,private,no formal,1.6,65.9,yes,30-60 min,yes,coaching,f
14,female,private,post graduate,1.3,97.9,yes,<15 min,yes,group study,d
18,female,private,no formal,4.2,50.2,no,30-60 min,yes,group study,e
16,other,public,high school,7.3,91.6,yes,>60 min,yes,online videos,a
15,male,private,diploma,1.1,63.1,no,>60 min,yes,group study,f
15,male,public,post graduate,7.0,60.1,yes,<15 min,yes,group study,c
17,male,private,diploma,5.5,94.2,yes,<15 min,yes,group study,b
18,male,private,phd,1.8,65.2,no,15-30 min,no,mixed,f
19,female,private,graduate,2.7,79.2,yes,30-60 min,yes,textbook,d
16,other,public,high school,2.0,86.8,yes,15-30 min,no,mixed,d
14,female,public,high school,6.4,71.0,yes,<15 min,no,mixed,c
18,female,private,post graduate,5.9,55.1,no,<15 min,no,group study,d
17,male,public,diploma,2.8,96.1,yes,<15 min,yes,notes,d
18,female,public,graduate,0.9,82.4,yes,>60 min,no,online videos,e
14,male,public,diploma,1.8,94.6,yes,>60 min,yes,online videos,d
15,other,private,high school,5.2,88.4,no,>60 min,yes,textbook,c
18,female,public,graduate,1.2,88.7,no,30-60 min,yes,notes,e
18,female,private,high school,4.5,79.5,yes,<15 min,no,group study,d
16,other,public,phd,5.1,50.3,yes,30-60 min,no,group study,d
18,male,private,post graduate,5.7,94.1,yes,30-60 min,yes,textbook,c
19,female,public,post graduate,1.4,91.5,yes,30-60 min,yes,group study,e
16,female,public,high school,3.9,86.4,no,30-60 min,no,online videos,d
19,male,private,no formal,4.0,93.9,yes,<15 min,no,group study,c
15,male,public,no formal,6.8,59.2,yes,30-60 min,no,notes,b
15,male,public,phd,4.0,64.1,yes,>60 min,yes,group study,d
18,male,private,phd,3.6,57.9,yes,15-30 min,no,group study,e
17,other,private,post graduate,1.4,82.3,yes,15-30 min,no,coaching,f
14,male,private,graduate,5.7,71.9,no,<15 min,no,group study,d
18,male,public,high school,5.1,55.1,yes,30-60 min,yes,textbook,d
15,other,private,post graduate,5.9,78.8,yes,<15 min,yes,coaching,d
18,female,public,graduate,5.4,66.9,yes,30-60 min,yes,mixed,c
14,other,private,graduate,7.1,74.5,yes,30-60 min,no,online videos,c
18,other,private,no formal,7.1,63.1,yes,15-30 min,yes,notes,b
18,male,private,graduate,2.8,58.1,yes,15-30 min,no,group study,f
18,female,private,post graduate,1.9,72.5,yes,<15 min,yes,textbook,e
17,male,private,post graduate,7.4,61.3,no,30-60 min,yes,textbook,c
16,female,public,no formal,5.8,70.3,yes,<15 min,no,mixed,d
18,other,private,no formal,7.8,69.1,no,30-60 min,no,online videos,c
15,other,private,phd,4.2,97.0,yes,30-60 min,yes,online videos,d
18,other,private,high school,7.7,59.3,yes,30-60 min,yes,online videos,b
17,male,public,diploma,1.4,64.3,yes,>60 min,no,group study,f
16,male,private,graduate,4.9,89.6,yes,30-60 min,yes,group study,c
17,female,public,diploma,4.2,64.8,yes,15-30 min,yes,mixed,d
17,male,private,phd,0.5,74.0,yes,<15 min,no,textbook,f
14,female,private,phd,1.9,88.1,yes,15-30 min,no,mixed,e
14,other,private,diploma,1.7,50.2,no,30-60 min,yes,coaching,f
15,male,private,high school,1.0,97.8,yes,15-30 min,yes,mixed,f
14,other,public,phd,7.6,73.1,yes,15-30 min,no,online videos,c
16,other,public,post graduate,7.7,88.0,yes,30-60 min,no,group study,b
18,other,public,post graduate,7.2,96.0,yes,<15 min,no,notes,b
17,male,private,diploma,7.9,93.8,yes,>60 min,yes,coaching,a
16,male,private,diploma,6.7,61.0,yes,>60 min,no,group study,b
19,male,private,high school,7.5,77.8,no,<15 min,no,mixed,b
17,male,private,diploma,2.0,70.5,no,>60 min,no,group study,e
14,male,private,graduate,2.4,76.6,no,30-60 min,no,notes,e
18,female,public,no formal,7.0,89.0,yes,>60 min,no,mixed,c
17,male,private,graduate,4.1,67.7,yes,>60 min,no,online videos,d
17,male,private,graduate,5.9,73.9,yes,15-30 min,yes,textbook,c
17,other,public,phd,4.7,80.4,yes,>60 min,yes,online videos,c
17,other,private,no formal,2.8,63.5,yes,>60 min,no,mixed,e
14,other,private,high school,2.6,80.3,yes,30-60 min,yes,group study,e
17,male,private,diploma,6.1,57.4,yes,15-30 min,no,group study,c
18,female,private,phd,4.5,81.1,yes,<15 min,no,coaching,c
15,female,private,high school,3.2,57.2,yes,15-30 min,yes,mixed,e
17,male,public,phd,5.1,88.8,no,15-30 min,yes,textbook,c
14,other,public,phd,3.6,59.7,no,15-30 min,no,coaching,e
16,female,private,no formal,4.1,82.3,yes,>60 min,no,textbook,d
16,other,public,diploma,5.6,79.1,yes,30-60 min,yes,mixed,b
19,male,private,high school,3.9,71.3,yes,15-30 min,no,mixed,e
15,female,public,diploma,7.6,82.3,yes,<15 min,yes,group study,b
15,male,private,phd,4.1,92.3,yes,30-60 min,yes,online videos,d
16,other,private,diploma,7.7,56.0,yes,<15 min,no,mixed,c
19,female,private,graduate,6.9,83.8,no,30-60 min,no,group study,a
19,male,public,no formal,7.2,70.5,yes,15-30 min,yes,textbook,b
14,male,private,graduate,6.2,83.7,no,30-60 min,yes,mixed,c
15,female,private,diploma,5.0,93.8,yes,15-30 min,yes,coaching,c
18,male,public,phd,4.5,82.6,yes,<15 min,yes,textbook,d
14,male,private,post graduate,4.6,58.0,yes,15-30 min,no,group study,d
19,other,public,high school,2.0,70.8,yes,30-60 min,no,group study,f
15,other,private,graduate,2.1,77.5,yes,30-60 min,no,group study,f
19,female,public,diploma,0.8,56.3,yes,>60 min,no,notes,f
15,other,private,diploma,6.1,82.2,yes,<15 min,yes,mixed,b
16,female,private,diploma,1.4,85.7,yes,30-60 min,yes,mixed,e
17,male,private,post graduate,4.9,88.1,yes,30-60 min,no,coaching,c
14,other,private,high school,1.5,56.0,yes,<15 min,no,coaching,f
17,male,private,no formal,1.0,85.3,no,15-30 min,no,mixed,f
17,other,private,high school,4.5,68.3,yes,<15 min,no,coaching,d
18,female,public,post graduate,7.0,60.6,yes,<15 min,yes,group study,b
19,male,private,high school,3.2,76.2,no,15-30 min,no,group study,e
17,male,public,no formal,7.4,78.6,yes,<15 min,no,online videos,b
16,other,private,diploma,0.6,72.8,yes,30-60 min,yes,group study,f
16,other,private,phd,4.0,92.0,yes,<15 min,yes,textbook,c
16,female,private,phd,1.6,57.8,no,<15 min,yes,coaching,e
18,male,public,phd,2.9,70.4,yes,>60 min,no,group study,d
15,other,public,post graduate,0.7,63.4,yes,30-60 min,no,group study,f
15,other,private,post graduate,0.8,52.4,yes,15-30 min,no,notes,f
16,female,private,post graduate,5.8,67.0,yes,>60 min,yes,textbook,d
14,female,public,no formal,5.4,85.9,yes,>60 min,no,group study,c
14,other,public,diploma,2.1,76.2,no,<15 min,no,mixed,f
14,female,private,graduate,7.3,70.9,yes,15-30 min,yes,group study,b
18,male,private,diploma,5.7,73.7,yes,30-60 min,no,coaching,c
18,male,public,post graduate,3.0,65.6,yes,<15 min,yes,online videos,e
18,female,public,phd,3.6,56.1,yes,30-60 min,no,mixed,e
16,other,private,graduate,2.7,79.5,yes,<15 min,no,notes,d
18,other,public,no formal,6.7,90.8,yes,>60 min,no,group study,b
14,female,public,diploma,4.2,89.5,yes,15-30 min,yes,online videos,d
19,male,public,high school,1.5,61.7,yes,30-60 min,no,textbook,f
17,female,private,diploma,2.0,71.7,yes,>60 min,yes,textbook,e
19,male,public,high school,2.7,77.6,yes,30-60 min,yes,coaching,e
14,female,public,no formal,3.5,90.1,yes,30-60 min,yes,online videos,d
16,female,public,high school,4.9,59.8,yes,>60 min,no,coaching,c
18,other,private,diploma,7.7,56.6,yes,30-60 min,no,textbook,c
16,other,private,no formal,2.5,96.6,yes,15-30 min,no,mixed,d
16,other,public,no formal,3.0,57.3,no,15-30 min,yes,notes,f
14,male,private,high school,0.7,99.5,yes,30-60 min,no,coaching,e
16,other,private,graduate,3.3,79.9,yes,15-30 min,yes,mixed,d
15,male,private,graduate,5.6,74.9,yes,<15 min,no,notes,c
15,female,private,diploma,7.7,59.4,yes,30-60 min,no,group study,c
18,other,public,graduate,6.1,93.0,yes,30-60 min,no,group study,b
17,other,private,high school,1.4,58.6,yes,30-60 min,no,online videos,f
17,female,private,post graduate,7.2,70.1,yes,15-30 min,yes,textbook,c
16,male,private,no formal,6.8,52.4,yes,<15 min,no,mixed,c
19,female,private,no formal,1.9,51.1,yes,<15 min,yes,online videos,f
14,other,private,phd,7.5,86.5,yes,30-60 min,no,coaching,b
16,female,private,diploma,5.9,60.4,yes,<15 min,yes,mixed,c
14,female,private,graduate,6.4,80.0,yes,30-60 min,yes,coaching,b
16,female,public,diploma,3.9,86.2,yes,<15 min,yes,mixed,d
19,female,public,graduate,2.0,74.6,yes,15-30 min,no,coaching,e
16,male,public,post graduate,6.5,82.8,yes,>60 min,yes,online videos,b
19,other,private,post graduate,4.1,62.1,yes,15-30 min,no,mixed,e
16,male,public,high school,7.8,90.9,yes,15-30 min,no,mixed,a
18,other,public,graduate,1.7,60.3,yes,>60 min,yes,notes,e
16,male,public,post graduate,3.2,79.5,yes,<15 min,yes,mixed,d
15,female,private,diploma,6.0,91.8,yes,15-30 min,no,mixed,c
18,female,private,diploma,4.8,89.7,yes,15-30 min,no,mixed,c
19,female,public,graduate,3.7,52.6,yes,15-30 min,yes,mixed,d
15,female,private,graduate,5.8,68.4,yes,>60 min,yes,coaching,d
18,other,public,high school,6.0,92.6,yes,>60 min,yes,notes,c
15,male,public,phd,4.8,92.5,yes,<15 min,yes,notes,c
18,other,private,graduate,2.9,81.8,yes,>60 min,yes,group study,d
18,other,public,graduate,5.1,55.4,no,<15 min,no,notes,d
16,other,public,high school,4.6,70.2,yes,<15 min,no,textbook,d
18,male,private,post graduate,6.5,98.1,yes,30-60 min,yes,mixed,c
15,male,public,phd,5.4,55.3,yes,15-30 min,yes,mixed,d
14,female,private,post graduate,4.2,90.1,yes,<15 min,no,notes,c
14,male,public,graduate,0.6,70.9,yes,<15 min,no,textbook,e
16,other,private,graduate,1.8,87.2,no,30-60 min,no,textbook,e
19,other,private,high school,3.0,52.7,yes,15-30 min,no,textbook,e
14,female,private,no formal,5.0,50.5,yes,15-30 min,no,mixed,d
16,other,public,graduate,6.4,65.0,yes,15-30 min,yes,notes,c
18,male,private,high school,7.7,93.5,yes,<15 min,no,notes,a
15,other,public,no formal,5.0,84.0,yes,>60 min,no,coaching,d
18,male,private,post graduate,6.0,80.6,yes,15-30 min,yes,textbook,c
15,other,private,diploma,5.2,99.9,yes,>60 min,yes,online videos,b
18,female,private,phd,3.7,67.4,yes,30-60 min,no,group study,d
17,female,private,phd,5.1,92.5,no,<15 min,no,notes,c
17,male,private,no formal,3.5,55.5,no,15-30 min,no,textbook,e
15,female,public,post graduate,3.9,58.5,yes,>60 min,yes,mixed,e
16,other,private,diploma,7.3,73.9,yes,<15 min,no,mixed,a
19,other,private,post graduate,4.7,98.0,yes,<15 min,no,group study,c
14,female,public,no formal,1.3,85.2,yes,30-60 min,yes,textbook,f
18,male,public,diploma,4.4,55.6,yes,15-30 min,no,textbook,e
16,female,private,graduate,7.6,97.7,yes,30-60 min,yes,mixed,a
18,other,private,diploma,1.3,88.3,yes,>60 min,no,mixed,f
17,male,private,graduate,7.8,86.8,no,30-60 min,no,notes,b
16,other,public,no formal,7.9,77.6,yes,15-30 min,no,coaching,a
15,other,public,no formal,4.7,69.7,yes,>60 min,no,coaching,d
17,other,public,graduate,3.0,55.5,yes,<15 min,yes,group study,f
14,female,public,diploma,0.6,81.0,yes,>60 min,no,online videos,f
17,male,public,graduate,0.6,56.4,yes,<15 min,yes,mixed,f
14,male,public,diploma,3.4,79.5,no,<15 min,no,online videos,d
17,other,private,no formal,6.4,77.0,yes,15-30 min,no,notes,c
17,female,public,post graduate,7.6,79.8,no,<15 min,yes,mixed,a
14,male,public,no formal,1.7,91.3,yes,>60 min,yes,coaching,e
18,other,public,post graduate,4.2,70.6,yes,30-60 min,no,notes,d
16,male,private,no formal,4.3,71.8,yes,<15 min,no,online videos,c
18,other,private,phd,3.4,53.0,yes,30-60 min,no,coaching,e
14,female,public,high school,4.5,64.4,yes,<15 min,no,notes,d
15,female,private,phd,7.4,54.1,yes,30-60 min,no,online videos,b
16,male,private,no formal,3.8,57.1,yes,>60 min,yes,group study,e
15,male,public,diploma,1.5,71.3,yes,<15 min,yes,notes,f
15,other,private,diploma,5.5,70.4,no,15-30 min,yes,notes,d
17,female,private,no formal,0.7,96.8,yes,30-60 min,no,textbook,f
14,other,public,diploma,7.6,56.0,yes,>60 min,no,group study,c
18,other,private,high school,7.5,57.5,no,30-60 min,no,coaching,b
14,male,public,diploma,1.2,87.5,yes,15-30 min,yes,mixed,f
15,female,public,diploma,4.6,51.1,yes,<15 min,yes,textbook,d
17,other,public,high school,6.5,82.5,yes,30-60 min,no,group study,b
18,female,public,post graduate,4.0,87.4,yes,15-30 min,yes,group study,c
15,female,private,graduate,4.1,81.4,yes,>60 min,no,textbook,d
15,female,private,phd,7.8,64.4,no,30-60 min,no,coaching,b
19,other,public,post graduate,2.2,55.2,yes,>60 min,no,group study,f
19,other,public,high school,4.4,99.7,yes,30-60 min,no,online videos,c
17,other,private,high school,1.4,93.0,yes,<15 min,no,group study,d
16,female,private,phd,2.8,86.5,yes,<15 min,no,coaching,e
16,female,private,high school,6.9,59.4,yes,30-60 min,yes,online videos,c
17,female,private,no formal,5.9,71.5,no,<15 min,no,textbook,d
17,male,private,graduate,5.1,85.5,yes,15-30 min,yes,mixed,c
15,other,public,phd,1.4,55.1,yes,30-60 min,no,group study,f
14,male,private,high school,6.9,97.9,yes,<15 min,no,group study,a
14,other,private,graduate,2.7,97.8,yes,<15 min,no,online videos,d
19,female,public,diploma,4.5,57.5,yes,<15 min,yes,textbook,d
16,other,private,diploma,2.3,59.9,yes,15-30 min,no,online videos,e
16,other,public,diploma,4.4,68.2,yes,30-60 min,no,online videos,d
16,female,public,no formal,4.7,72.5,yes,15-30 min,no,mixed,d
18,female,private,diploma,3.1,72.0,yes,<15 min,yes,notes,d
14,female,public,high school,4.3,84.4,yes,30-60 min,no,textbook,c
14,female,public,post graduate,3.5,73.5,yes,>60 min,yes,textbook,d
15,male,private,high school,5.7,59.2,yes,<15 min,no,online videos,c
16,male,private,phd,4.6,63.1,yes,<15 min,no,online videos,d
18,other,private,no formal,7.1,70.6,yes,<15 min,no,textbook,c
16,other,private,diploma,0.9,76.0,yes,15-30 min,yes,mixed,f
16,male,private,high school,0.7,96.2,yes,<15 min,yes,notes,e
19,male,public,diploma,1.9,54.8,yes,30-60 min,no,mixed,f
14,female,public,post graduate,1.4,90.2,yes,30-60 min,no,notes,e
17,other,public,phd,4.4,65.5,yes,30-60 min,yes,textbook,d
17,other,public,post graduate,2.0,86.4,no,<15 min,yes,online videos,e
16,other,public,graduate,0.6,62.9,yes,15-30 min,yes,group study,f
18,male,public,graduate,2.6,69.3,yes,30-60 min,no,coaching,e
15,male,public,phd,4.3,72.2,no,30-60 min,yes,textbook,d
19,female,public,phd,5.9,87.5,no,>60 min,yes,group study,c
15,male,private,post graduate,3.8,58.3,yes,<15 min,no,mixed,d
17,female,public,no formal,7.7,67.3,yes,>60 min,no,online videos,b
17,female,private,high school,2.0,76.4,yes,15-30 min,no,coaching,e
19,other,public,high school,4.4,82.9,yes,15-30 min,yes,notes,c
16,male,public,high school,2.4,53.8,yes,>60 min,yes,notes,e
15,other,public,phd,6.6,54.7,yes,15-30 min,no,textbook,c
14,other,private,no formal,1.9,85.9,yes,>60 min,no,notes,d
16,other,private,phd,7.7,68.3,yes,30-60 min,yes,mixed,b
18,other,public,post graduate,5.9,58.3,yes,15-30 min,no,notes,d
14,other,public,graduate,4.7,63.2,yes,15-30 min,no,textbook,d
19,male,private,high school,4.5,79.9,no,>60 min,yes,textbook,c
17,female,public,high school,3.2,97.7,yes,>60 min,no,mixed,d
14,female,private,post graduate,0.7,86.6,yes,>60 min,yes,group study,e
15,other,private,post graduate,7.4,89.9,yes,>60 min,no,mixed,a
17,male,public,graduate,6.5,80.4,yes,15-30 min,no,group study,c
15,female,private,graduate,1.5,68.6,yes,>60 min,yes,mixed,f
14,male,private,post graduate,1.4,98.1,yes,>60 min,no,textbook,e
17,male,private,post graduate,2.8,54.1,no,>60 min,yes,group study,e
18,other,private,post graduate,6.2,90.4,no,15-30 min,no,textbook,b
14,male,public,high school,4.3,62.9,yes,30-60 min,yes,coaching,e
15,other,public,no formal,5.4,80.4,yes,>60 min,no,coaching,c
15,other,private,diploma,0.5,99.1,yes,15-30 min,yes,group study,e
17,other,public,diploma,7.4,92.1,yes,30-60 min,yes,online videos,a
18,male,public,diploma,1.7,92.5,yes,>60 min,yes,textbook,e
18,male,private,graduate,2.9,91.2,yes,<15 min,no,coaching,e
19,female,public,phd,7.6,72.7,yes,30-60 min,no,coaching,c
18,female,public,post graduate,6.0,69.7,yes,<15 min,yes,notes,c
15,other,private,post graduate,4.3,75.9,yes,>60 min,yes,notes,d
14,female,public,post graduate,7.0,64.3,yes,15-30 min,no,textbook,b
17,male,private,diploma,1.0,73.9,yes,30-60 min,yes,coaching,f
19,other,public,graduate,1.1,56.3,yes,<15 min,no,online videos,f
19,other,public,diploma,1.7,94.6,yes,<15 min,no,group study,d
15,female,private,post graduate,2.5,86.8,yes,>60 min,yes,mixed,e
15,other,public,phd,5.8,53.1,yes,>60 min,yes,group study,d
14,other,public,diploma,4.5,83.0,yes,15-30 min,yes,coaching,d
14,female,public,post graduate,3.7,87.9,yes,30-60 min,yes,notes,d
17,male,private,no formal,6.4,93.1,yes,<15 min,yes,coaching,a
17,female,public,diploma,2.9,66.5,yes,<15 min,no,online videos,d
16,female,public,phd,1.1,81.5,no,30-60 min,yes,mixed,e
15,other,public,post graduate,3.5,63.8,no,<15 min,no,textbook,d
18,other,public,graduate,6.2,92.4,yes,30-60 min,yes,group study,c
16,female,public,high school,4.1,93.8,no,30-60 min,yes,textbook,d
18,female,private,post graduate,7.8,53.8,no,<15 min,yes,coaching,c
19,female,public,phd,6.9,64.3,yes,30-60 min,yes,online videos,c
15,female,public,diploma,6.4,55.1,yes,<15 min,yes,mixed,c
15,female,public,post graduate,6.3,69.9,yes,15-30 min,no,mixed,c
19,female,private,graduate,4.9,50.3,no,30-60 min,no,mixed,e
17,female,public,diploma,7.3,89.1,yes,15-30 min,no,textbook,a
15,other,public,high school,4.9,71.6,yes,<15 min,yes,online videos,d
17,male,private,graduate,3.3,76.7,yes,30-60 min,yes,online videos,e
17,male,private,diploma,2.0,87.1,no,<15 min,yes,textbook,e
19,other,private,graduate,6.6,85.6,yes,>60 min,no,textbook,c
15,other,public,no formal,3.3,65.7,yes,>60 min,yes,group study,d
19,female,public,diploma,6.4,89.1,yes,>60 min,no,mixed,b
19,female,private,post graduate,7.9,82.0,yes,15-30 min,no,textbook,a
15,female,private,phd,3.5,60.9,yes,<15 min,yes,online videos,e
14,female,public,high school,3.1,51.5,yes,>60 min,no,online videos,e
17,male,private,graduate,1.8,87.8,yes,30-60 min,no,group study,e
14,female,private,high school,4.1,58.3,yes,15-30 min,yes,notes,d
15,male,private,post graduate,5.4,55.6,yes,<15 min,yes,notes,d
16,male,public,diploma,2.8,71.0,yes,>60 min,no,mixed,e
19,female,private,post graduate,4.1,96.1,no,15-30 min,yes,coaching,c
19,other,public,diploma,4.5,85.9,yes,15-30 min,no,mixed,c
14,male,public,high school,2.6,89.9,yes,>60 min,no,coaching,d
19,other,private,graduate,0.7,63.5,yes,30-60 min,yes,mixed,e
14,female,public,graduate,2.1,91.8,no,15-30 min,yes,mixed,d
18,other,public,post graduate,6.5,70.8,no,>60 min,yes,group study,c
19,female,public,post graduate,2.6,99.0,yes,15-30 min,no,textbook,d
19,other,public,post graduate,0.6,78.5,yes,15-30 min,no,notes,e
15,female,public,phd,3.7,80.3,yes,<15 min,no,notes,d
19,other,private,diploma,5.6,95.8,yes,<15 min,no,coaching,c
14,female,private,graduate,6.1,97.4,yes,<15 min,no,online videos,c
17,female,private,diploma,3.6,50.9,yes,15-30 min,no,group study,e
16,female,private,graduate,4.8,61.6,yes,>60 min,yes,online videos,d
15,other,private,no formal,6.1,80.7,yes,>60 min,yes,textbook,c
14,other,public,phd,7.2,50.2,yes,<15 min,yes,coaching,b
18,male,private,graduate,5.3,65.9,yes,30-60 min,yes,textbook,c
16,other,private,graduate,5.7,59.8,yes,15-30 min,no,online videos,d
17,other,public,phd,1.2,76.2,yes,>60 min,yes,textbook,f
16,other,public,diploma,3.7,79.9,no,15-30 min,no,notes,d
16,female,public,diploma,7.2,59.5,yes,15-30 min,yes,online videos,c
19,female,private,graduate,1.7,76.8,yes,30-60 min,no,group study,f
14,other,private,phd,2.8,69.8,yes,<15 min,no,notes,e
18,female,private,high school,5.6,99.5,yes,15-30 min,yes,coaching,c
18,female,public,no formal,7.3,53.3,yes,<15 min,yes,group study,c
16,female,private,no formal,0.9,92.0,no,15-30 min,yes,textbook,f
15,female,public,post graduate,7.0,100.0,yes,<15 min,no,mixed,a
14,male,public,no formal,2.2,77.1,yes,>60 min,no,notes,d
19,male,public,post graduate,7.0,84.0,yes,15-30 min,no,online videos,c
19,male,public,phd,7.2,56.4,yes,15-30 min,no,group study,c
15,female,public,post graduate,6.3,67.5,yes,15-30 min,no,group study,c
14,female,private,high school,7.4,59.1,yes,15-30 min,no,mixed,c
14,female,public,graduate,7.7,79.2,yes,<15 min,no,notes,b
14,other,private,diploma,7.4,97.1,yes,30-60 min,no,textbook,b
18,male,public,no formal,4.3,51.5,yes,<15 min,no,online videos,d
19,female,private,high school,4.0,74.7,yes,<15 min,no,notes,e
14,male,private,post graduate,1.3,86.2,yes,30-60 min,yes,group study,e
18,male,private,graduate,2.1,71.5,no,15-30 min,yes,notes,e
15,female,private,diploma,5.4,76.9,yes,30-60 min,no,textbook,c
16,male,private,post graduate,1.5,72.6,yes,<15 min,no,group study,e
17,male,private,graduate,7.6,79.9,yes,>60 min,no,coaching,b
18,other,public,phd,2.2,53.4,yes,30-60 min,no,group study,f
19,other,public,no formal,1.2,77.3,yes,15-30 min,no,notes,e
14,male,public,high school,2.3,75.6,yes,>60 min,no,coaching,e
15,male,public,high school,0.9,59.1,yes,30-60 min,yes,coaching,f
15,male,public,diploma,1.7,76.7,yes,>60 min,no,group study,e
15,female,private,phd,4.9,73.2,yes,30-60 min,yes,notes,d
19,other,public,diploma,2.7,79.7,yes,30-60 min,no,online videos,e
18,male,public,high school,6.5,78.2,yes,>60 min,yes,coaching,c
15,male,private,no formal,3.5,70.2,yes,>60 min,yes,notes,d
19,female,public,diploma,5.9,89.1,no,30-60 min,yes,notes,b
